ccode1,ccode2,year,imp,places,currency,country1,country2
345,2,1920,82212025,1,,Yugoslavia,United States
345,2,1921,98964512,1,,Yugoslavia,United States
345,2,1922,225369320,1,,Yugoslavia,United States
345,2,1923,306024381,1,,Yugoslavia,United States
345,2,1924,320877209,1,,Yugoslavia,United States
345,2,1925,341512707,1,,Yugoslavia,United States
345,2,1926,309217296,1,,Yugoslavia,United States
345,2,1927,254586246,1,,Yugoslavia,United States
345,2,1928,385443153,1,,Yugoslavia,United States
345,2,1929,360261383,1,,Yugoslavia,United States
345,2,1930,285420263,1,Dinars,Yugoslavia,United States
345,2,1931,199793334,1,Dinars,Yugoslavia,United States
345,2,1932,126590645,1,Dinars,Yugoslavia,United States
345,2,1933,148308719,1,Dinars,Yugoslavia,United States
345,2,1934,229648281,1,Dinars,Yugoslavia,United States
345,2,1935,228978773,1,Dinars,Yugoslavia,United States
345,2,1936,260042171,1,Dinars,Yugoslavia,United States
345,2,1937,312230850,1,Dinars,Yugoslavia,United States
345,2,1938,299415074,1,Dinars,Yugoslavia,United States
345,2,1939,248011035,1,Dinars,Yugoslavia,United States
345,2,1945,66864,1000,,Yugoslavia,United States
345,2,1946,37049,1000,1000 Dinars,Yugoslavia,United States
345,2,1947,336719,1000,1000 Dinars,Yugoslavia,United States
345,2,1948,536202,1000,1000 Dinars,Yugoslavia,United States
345,2,1949,1543819,1000,1000 Dinars,Yugoslavia,United States
345,4,1920,0,1,,Yugoslavia,Hawaii
345,4,1921,0,1,,Yugoslavia,Hawaii
345,4,1922,0,1,,Yugoslavia,Hawaii
345,4,1923,0,1,,Yugoslavia,Hawaii
345,4,1924,0,1,,Yugoslavia,Hawaii
345,4,1925,0,1,,Yugoslavia,Hawaii
345,4,1926,0,1,,Yugoslavia,Hawaii
345,4,1927,400,1,,Yugoslavia,Hawaii
345,4,1928,9000,1,,Yugoslavia,Hawaii
345,4,1929,0,1,,Yugoslavia,Hawaii
345,4,1930,1390,1,Dinars,Yugoslavia,Hawaii
345,4,1931,0,1,Dinars,Yugoslavia,Hawaii
345,4,1932,0,1,Dinars,Yugoslavia,Hawaii
345,4,1933,0,1,Dinars,Yugoslavia,Hawaii
345,4,1934,0,1,Dinars,Yugoslavia,Hawaii
345,4,1935,0,1,Dinars,Yugoslavia,Hawaii
345,4,1936,0,1,Dinars,Yugoslavia,Hawaii
345,4,1937,0,1,Dinars,Yugoslavia,Hawaii
345,4,1938,0,1,Dinars,Yugoslavia,Hawaii
345,4,1939,0,1,Dinars,Yugoslavia,Hawaii
345,4,1945,0,1000,,Yugoslavia,Hawaii
345,4,1946,0,1000,1000 Dinars,Yugoslavia,Hawaii
345,4,1947,0,1000,1000 Dinars,Yugoslavia,Hawaii
