ccode1,ccode2,year,imp,places,currency,country1,country2
511,2,1920,184431,1,Rs,Zanzibar,United States
511,2,1921,858031,1,Rs,Zanzibar,United States
511,2,1922,786104,1,Rs,Zanzibar,United States
511,2,1923,476436,1,Rs,Zanzibar,United States
511,2,1924,547110,1,Rs,Zanzibar,United States
511,2,1925,385566,1,Rs,Zanzibar,United States
511,2,1926,1120154,1,Rs,Zanzibar,United States
511,2,1927,652568,1,Rs,Zanzibar,United States
511,2,1928,1242021,1,Rs,Zanzibar,United States
511,2,1929,473072,1,Rs,Zanzibar,United States
511,2,1930,828023,1,Rs,Zanzibar,United States
511,2,1931,347771,1,Rs,Zanzibar,United States
511,2,1932,326869,1,Rs,Zanzibar,United States
511,2,1933,210335,1,Rs,Zanzibar,United States
511,2,1934,272262,1,Rs,Zanzibar,United States
511,2,1935,341954,1,Rs,Zanzibar,United States
511,2,1936,24957,1,Pounds,Zanzibar,United States
511,2,1937,33195,1,Pounds,Zanzibar,United States
511,2,1938,31366,1,Pounds,Zanzibar,United States
511,2,1939,18004,1,Pounds,Zanzibar,United States
511,2,1940,17799,1,Pounds,Zanzibar,United States
511,2,1941,8930,1,Pounds,Zanzibar,United States
511,2,1942,12358,1,Pounds,Zanzibar,United States
511,2,1943,25335,1,Pounds,Zanzibar,United States
511,2,1944,41890,1,Pounds,Zanzibar,United States
511,2,1945,72921,1,Pounds,Zanzibar,United States
511,2,1946,60612,1,Pounds,Zanzibar,United States
511,2,1947,73151,1,Pounds,Zanzibar,United States
511,2,1948,228591,1,Pounds,Zanzibar,United States
511,2,1949,19218,1,Pounds,Zanzibar,United States
511,20,1920,0,1,Rs,Zanzibar,Canada
511,20,1921,0,1,Rs,Zanzibar,Canada
511,20,1922,0,1,Rs,Zanzibar,Canada
511,20,1923,0,1,Rs,Zanzibar,Canada
511,20,1924,0,1,Rs,Zanzibar,Canada
511,20,1925,0,1,Rs,Zanzibar,Canada
511,20,1926,0,1,Rs,Zanzibar,Canada
511,20,1927,0,1,Rs,Zanzibar,Canada
511,20,1928,14338,1,Rs,Zanzibar,Canada
511,20,1929,36112,1,Rs,Zanzibar,Canada
511,20,1930,49791,1,Rs,Zanzibar,Canada
511,20,1931,60286,1,Rs,Zanzibar,Canada
511,20,1932,44904,1,Rs,Zanzibar,Canada
511,20,1933,13606,1,Rs,Zanzibar,Canada
511,20,1934,29088,1,Rs,Zanzibar,Canada
511,20,1935,67020,1,Rs,Zanzibar,Canada
511,20,1936,3405,1,Pounds,Zanzibar,Canada
511,20,1937,4167,1,Pounds,Zanzibar,Canada
511,20,1938,6608,1,Pounds,Zanzibar,Canada
511,20,1939,1544,1,Pounds,Zanzibar,Canada
511,20,1940,724,1,Pounds,Zanzibar,Canada
511,20,1941,153,1,Pounds,Zanzibar,Canada
511,20,1942,190,1,Pounds,Zanzibar,Canada
511,20,1943,241,1,Pounds,Zanzibar,Canada
511,20,1944,872,1,Pounds,Zanzibar,Canada
511,20,1945,1879,1,Pounds,Zanzibar,Canada
511,20,1946,5991,1,Pounds,Zanzibar,Canada
511,20,1947,8554,1,Pounds,Zanzibar,Canada
511,20,1948,3286,1,Pounds,Zanzibar,Canada
511,20,1949,1148,1,Pounds,Zanzibar,Canada
511,51,1920,0,1,Rs,Zanzibar,Jamaica
511,51,1921,0,1,Rs,Zanzibar,Jamaica
511,51,1922,0,1,Rs,Zanzibar,Jamaica
511,51,1923,0,1,Rs,Zanzibar,Jamaica
511,51,1924,0,1,Rs,Zanzibar,Jamaica
511,51,1925,0,1,Rs,Zanzibar,Jamaica
511,51,1926,0,1,Rs,Zanzibar,Jamaica
511,51,1927,0,1,Rs,Zanzibar,Jamaica
511,51,1928,0,1,Rs,Zanzibar,Jamaica
511,51,1929,0,1,Rs,Zanzibar,Jamaica
511,51,1930,0,1,Rs,Zanzibar,Jamaica
511,51,1931,0,1,Rs,Zanzibar,Jamaica
511,51,1932,0,1,Rs,Zanzibar,Jamaica
511,51,1933,0,1,Rs,Zanzibar,Jamaica
511,51,1934,0,1,Rs,Zanzibar,Jamaica
511,51,1935,0,1,Rs,Zanzibar,Jamaica
511,51,1936,0,1,Pounds,Zanzibar,Jamaica
511,51,1937,0,1,Pounds,Zanzibar,Jamaica
511,51,1938,0,1,Pounds,Zanzibar,Jamaica
511,51,1939,0,1,Pounds,Zanzibar,Jamaica
511,51,1940,0,1,Pounds,Zanzibar,Jamaica
511,51,1941,0,1,Pounds,Zanzibar,Jamaica
511,51,1942,0,1,Pounds,Zanzibar,Jamaica
511,51,1943,0,1,Pounds,Zanzibar,Jamaica
511,51,1944,0,1,Pounds,Zanzibar,Jamaica
511,51,1945,0,1,Pounds,Zanzibar,Jamaica
511,51,1946,0,1,Pounds,Zanzibar,Jamaica
511,51,1947,102,1,Pounds,Zanzibar,Jamaica
511,51,1948,0,1,Pounds,Zanzibar,Jamaica
511,51,1949,0,1,Pounds,Zanzibar,Jamaica
511,52,1920,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1921,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1922,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1923,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1924,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1925,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1926,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1927,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1928,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1929,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1930,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1931,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1932,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1933,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1934,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1935,0,1,Rs,Zanzibar,Trinidad And Tobago
511,52,1936,0,1,Pounds,Zanzibar,Trinidad And Tobago
511,52,1937,0,1,Pounds,Zanzibar,Trinidad And Tobago
511,52,1938,0,1,Pounds,Zanzibar,Trinidad And Tobago
511,52,1939,0,1,Pounds,Zanzibar,Trinidad And Tobago
511,52,1940,0,1,Pounds,Zanzibar,Trinidad And Tobago
511,52,1941,0,1,Pounds,Zanzibar,Trinidad And Tobago
511,52,1942,0,1,Pounds,Zanzibar,Trinidad And Tobago
511,52,1943,0,1,Pounds,Zanzibar,Trinidad And Tobago
511,52,1944,0,1,Pounds,Zanzibar,Trinidad And Tobago
511,52,1945,0,1,Pounds,Zanzibar,Trinidad And Tobago
511,52,1946,102,1,Pounds,Zanzibar,Trinidad And Tobago
511,52,1947,0,1,Pounds,Zanzibar,Trinidad And Tobago
511,52,1948,0,1,Pounds,Zanzibar,Trinidad And Tobago
511,52,1949,131,1,Pounds,Zanzibar,Trinidad And Tobago
511,140,1920,0,1,Rs,Zanzibar,Brazil
